id,place_name,address_name,road_address_name,x,y,phone,category_name,place_url,region_1depth_name,region_2depth_name,query,rect_level,rect_bbox
24530178,던킨 제주송악산점,제주특별자치도 서귀포시 대정읍 상모리 133,제주특별자치도 서귀포시 대정읍 형제해안로 322,126.2900694,33.20676362,064-792-0771,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/24530178,,,던킨,0,"126.053125,33.0,126.384375,33.343333333333334"
1698319161,던킨 제주신화월드점,제주특별자치도 서귀포시 안덕면 서광리 산 24,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,126.316352,33.30497304,064-909-2301,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/1698319161,,,던킨,0,"126.053125,33.0,126.384375,33.343333333333334"
1145375013,던킨 신세계아울렛 제주프리미엄점,제주특별자치도 서귀포시 안덕면 서광리 산 24,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,126.3168389,33.30656164,,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/1145375013,,,던킨,0,"126.053125,33.0,126.384375,33.343333333333334"
1061385721,던킨 목포해상케이블카고하도점,전남 목포시 달동 846-1,전남 목포시 고하도안길 186,126.3607241,34.77435805,,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/1061385721,,,던킨,0,"126.053125,34.656666666666666,126.384375,35.01"
17341435,던킨 충남태안점,충남 태안군 태안읍 동문리 886-7,충남 태안군 태안읍 후곡로 132,126.3051723,36.74814867,041-674-1984,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/17341435,,,던킨,0,"126.053125,36.656666666666666,126.384375,37.01"
1440104242,던킨 서귀포동홍점,제주특별자치도 서귀포시 동홍동 93-2,제주특별자치도 서귀포시 동홍중앙로 77,126.5719246,33.25763046,064-767-2988,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/1440104242,,,던킨,0,"126.365625,33.0,126.696875,33.343333333333334"
1141761640,던킨 서귀포혁신점,제주특별자치도 서귀포시 강정동 161-1,제주특별자치도 서귀포시 신서로48번길 31,126.5086574,33.25352048,064-739-5900,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/1141761640,,,던킨,0,"126.365625,33.0,126.696875,33.343333333333334"
1482667109,던킨 신제주점,제주특별자치도 제주시 노형동 3782-8,제주특별자치도 제주시 노형8길 17,126.4789799,33.48397258,064-745-0145,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/1482667109,,,던킨,0,"126.365625,33.32333333333334,126.696875,33.67666666666666"
69700701,던킨 제주연동점,제주특별자치도 제주시 연동 1482-4,제주특별자치도 제주시 국기로 17,126.4899878,33.48013881,064-742-7972,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/69700701,,,던킨,0,"126.365625,33.32333333333334,126.696875,33.67666666666666"
7837996,던킨 제주시청점,제주특별자치도 제주시 이도이동 1772-1,제주특별자치도 제주시 중앙로 216,126.5292354,33.50007868,064-702-7600,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/7837996,,,던킨,0,"126.365625,33.32333333333334,126.696875,33.67666666666666"
549218722,던킨 제주아라점,제주특별자치도 제주시 아라일동 2333-2,제주특별자치도 제주시 중앙로 504,126.5434236,33.47830507,064-751-0822,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/549218722,,,던킨,0,"126.365625,33.32333333333334,126.696875,33.67666666666666"
1498540438,던킨 제주삼화점,제주특별자치도 제주시 도련일동 1938-5,제주특별자치도 제주시 건주로4길 6-4,126.5803373,33.51618534,064-753-8871,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/1498540438,,,던킨,0,"126.365625,33.32333333333334,126.696875,33.67666666666666"
24530482,던킨 제주탑동점,제주특별자치도 제주시 삼도이동 1261-13,제주특별자치도 제주시 탑동로 24,126.5225664,33.5175323,064-726-0044,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/24530482,,,던킨,0,"126.365625,33.32333333333334,126.696875,33.67666666666666"
885963053,던킨 제주화북점,제주특별자치도 제주시 화북일동 1989,제주특별자치도 제주시 진남로6길 4,126.5658064,33.51922862,064-702-1989,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/885963053,,,던킨,0,"126.365625,33.32333333333334,126.696875,33.67666666666666"
407811375,던킨 제주한마음병원점,제주특별자치도 제주시 이도이동 1941-5,제주특별자치도 제주시 연신로 52,126.5462368,33.49628689,064-755-2255,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/407811375,,,던킨,0,"126.365625,33.32333333333334,126.696875,33.67666666666666"
388693996,던킨 목포용해점,전남 목포시 연산동 1930-1,전남 목포시 용해지구로 61,126.3927034,34.8181908,061-272-0019,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/388693996,,,던킨,0,"126.365625,34.656666666666666,126.696875,35.01"
628900459,던킨 남악도청점,전남 무안군 삼향읍 남악리 2147,전남 무안군 삼향읍 대죽서로 25-14,126.4608017,34.81115624,061-284-4558,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/628900459,,,던킨,0,"126.365625,34.656666666666666,126.696875,35.01"
26567025,던킨 목포기독병원점,전남 목포시 상동 828-1,전남 목포시 백년대로297번길 3,126.4198528,34.80426602,061-284-7179,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/26567025,,,던킨,0,"126.365625,34.656666666666666,126.696875,35.01"
2042588061,던킨 목포롯데마트맥스점,전남 목포시 상동 1134,전남 목포시 원형서로 15,126.4294688,34.79724633,061-277-0809,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/2042588061,,,던킨,0,"126.365625,34.656666666666666,126.696875,35.01"
695248533,던킨 무안남악롯데마트점,전남 무안군 삼향읍 남악리 2622,전남 무안군 삼향읍 남악로162번길 80,126.4653503,34.80270677,061-262-5100,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/695248533,,,던킨,0,"126.365625,34.656666666666666,126.696875,35.01"
89680714,던킨 군산에어베이스점,전북특별자치도 군산시 옥서면 선연리 385,,126.615698,35.92601638,070-7597-9070,음식점 > 간식 > 도넛 > 던킨,http://place.map.kakao.com/89680714,,,던킨,0,"126.365625,35.656666666666666,126.696875,36.01"
